,1,3,5,7,9,11,13,15
Accuracy,0.76,0.82,0.82,0.84,0.84,0.84,0.84,0.86
Precision,0.8214285714285714,0.8387096774193549,0.8387096774193549,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.8484848484848485
Recall,0.7666666666666667,0.8666666666666667,0.8666666666666667,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333
F1,0.793103448275862,0.8524590163934426,0.8524590163934426,0.8749999999999999,0.8749999999999999,0.8749999999999999,0.8749999999999999,0.888888888888889
Predict training time,0.006689548492431641,0.006584882736206055,0.0051805973052978516,0.04874873161315918,0.008719205856323242,0.006018638610839844,0.006895780563354492,0.04966592788696289
